ticker,sector,cap,bars,data_integrity,signal_admissible,max_signal,bear_frequency,sideways_frequency,bull_frequency,transition_cells_covering_base_rate,overlap_persistence,stride_persistence,hit_rate,log_loss,baseline_log_loss,log_loss_delta,brier_score,baseline_brier,brier_delta,markov_gross_sharpe,markov_net_sharpe,baseline_net_sharpe,buy_hold_net_sharpe,markov_minus_baseline_sharpe,circular_null_percentile,circular_p_value,iid_null_percentile,cagr,max_drawdown,exposure,turnover,profit_factor,permutation_gate,baseline_gate,final_verdict
HINDUNILVR.NS,Consumer Staples,Large Cap,2468,PASS,PASS,0.1843575418994413,0.14665032679738563,0.6070261437908496,0.24632352941176472,9,0.8532249886065765,0.3237317504361828,0.486318407960199,0.9813269232662456,0.9646334363523271,-0.016693486913918476,0.5697595827827091,0.5622100220869695,-0.007549560695739643,0.15971518015119637,0.1386159174938039,-0.11321648362986667,0.19005712092728383,0.25183240112367056,62.8,0.3726273726273726,97.89999999999999,0.007104102472960339,-0.3219041880125394,0.9515079834417505,4.470727380248373,1.0276138301364626,FAIL,PASS,NO EVIDENCE OF EDGE
ITC.NS,Consumer Staples,Large Cap,2469,PASS,PASS,0.14285714285714285,0.1445487954267048,0.6410779910167416,0.2143732135565537,9,0.8548662313765857,0.3601331285202252,0.48813982521847693,0.9087707744964881,0.89858767697376,-0.010183097522728168,0.5291472337851657,0.5235213608385565,-0.005625872946609212,0.07275834322818661,0.02395325698319401,0.4076879724182957,0.39536047242050315,-0.3837347154351017,34.699999999999996,0.6533466533466533,79.22235722964763,-0.005856528797272054,-0.34950869138382606,0.4734042553191489,6.553191489361702,1.0127392529249342,FAIL,FAIL,NO EVIDENCE OF EDGE
NESTLEIND.NS,Consumer Staples,Large Cap,2468,PASS,PASS,0.2748091603053435,0.10702614379084967,0.6368464052287581,0.25612745098039214,9,0.8325509799164612,0.3195074784855627,0.5065176908752328,0.8544412646248629,0.8538567658679749,-0.0005844987568880411,0.5001087879127608,0.49736789321607344,-0.002740894696687368,0.685133795642763,0.6685455812623361,0.362205827910898,0.6655887927316692,0.3063397533514381,85.1,0.14985014985014986,90.2,0.1280578345982082,-0.22879899474107931,0.9532820816085157,3.576581904198699,1.131306646627959,FAIL,PASS,NO EVIDENCE OF EDGE
BRITANNIA.NS,Consumer Staples,Large Cap,2464,PASS,PASS,0.1300219138056976,0.15711947626841244,0.5654664484451718,0.2774140752864157,9,0.8600538447763829,0.34011959985320644,0.5061307901907357,0.9808859778869622,0.9634133788294527,-0.01747259905750953,0.5801074455685092,0.571515791884222,-0.00859165368428727,0.2942460401729249,0.24592798694566836,0.6415966613772638,0.5584661169699608,-0.3956686744315954,39.800000000000004,0.6023976023976024,47.4,0.02903971767539426,-0.34588536200305986,0.8689982216953172,9.112033195020748,1.0518561077122408,FAIL,FAIL,NO EVIDENCE OF EDGE
DABUR.NS,Consumer Staples,Large Cap,2468,PASS,PASS,0.15342465753424658,0.15073529411764705,0.639297385620915,0.2099673202614379,9,0.835525608623852,0.31992757319837395,0.5167381974248927,0.9107080865478479,0.8974875760222385,-0.013220510525609352,0.5289426007598251,0.5205548345649206,-0.008387766194904556,0.3311532617869807,0.22340353986954256,-0.33445810691045896,0.09673187846800758,0.5578616467800015,79.10000000000001,0.2097902097902098,89.60244648318043,0.024340937525386463,-0.3555455303948037,0.6895328208160851,19.522176227084568,1.0590824499954674,FAIL,PASS,NO EVIDENCE OF EDGE
MARICO.NS,Consumer Staples,Mid Cap,2468,PASS,PASS,0.1522491349480969,0.11805555555555555,0.6646241830065359,0.2173202614379085,9,0.8269405649151843,0.3463986753346615,0.48846960167714887,0.8639290828263525,0.8672178720739045,0.0032887892475520486,0.5006262827071615,0.5027291959466761,0.0021029132395146144,0.10727017397553334,-0.08453977427390486,0.541500739899819,0.688642324972128,-0.6260405141737237,17.7,0.8231768231768232,39.1,-0.020277289196521497,-0.3039692136690246,0.2814902424600828,25.930218805440568,1.003646423586685,FAIL,FAIL,NO EVIDENCE OF EDGE
TITAN.NS,Consumer Discretionary,Large Cap,2468,FAIL,PASS,0.25548726953467954,0.15849673202614378,0.4652777777777778,0.3762254901960784,9,0.8606555116945659,0.3171219545600715,0.5184956843403206,1.0398319365415802,1.014448098311959,-0.025383838229621203,0.6346507138296897,0.6162169303918283,-0.018433783437861395,1.0161297197017176,1.0070812934585684,0.8392450894598588,0.8982364835177322,0.1678362039987097,92.80000000000001,0.07292707292707293,99.7,0.24857171086896712,-0.2862777491909941,0.9597871082199881,2.2353636901241867,1.200946866898139,FAIL,PASS,NO EVIDENCE OF EDGE
SUNPHARMA.NS,Healthcare,Large Cap,2468,PASS,PASS,0.1840909090909091,0.17973856209150327,0.5351307189542484,0.28513071895424835,9,0.8324708706092491,0.31731634231634237,0.47580645161290325,0.9831371408130862,0.9776618536417158,-0.005475287171370469,0.5843202020362911,0.5837411218069348,-0.0005790802293562658,-0.12158691160614396,-0.26704401544997763,0.7530636655810138,1.1177836433845962,-1.0201076810309915,4.5,0.955044955044955,5.6000000000000005,-0.03800706424107125,-0.3189502699797776,0.21998817267888823,17.28681253696038,0.9301860047667831,FAIL,FAIL,NO EVIDENCE OF EDGE
DRREDDY.NS,Healthcare,Large Cap,2468,PASS,PASS,0.31143552311435524,0.17401960784313725,0.5718954248366013,0.2540849673202614,9,0.8512263357151495,0.2925705271252005,0.4932170542635659,0.9711981429197156,0.9784087096706655,0.007210566750949887,0.574647077572651,0.5821912363683944,0.007544158795743439,-0.24875950777793215,-0.3860981201598024,0.33825262014992136,0.6300771188396365,-0.7243507403097238,8.7,0.913086913086913,32.053941908713696,-0.08869308170444667,-0.5685783271185992,0.6102897693672383,26.52631578947368,0.9263167645713362,FAIL,FAIL,NO EVIDENCE OF EDGE
CIPLA.NS,Healthcare,Large Cap,2468,PASS,PASS,0.16666666666666663,0.14950980392156862,0.6339869281045751,0.21650326797385622,9,0.8176207255542041,0.3211091091640808,0.5333333333333333,0.9248562753065137,0.913606477225756,-0.011249798080757656,0.5385993119191761,0.5345999320111419,-0.0039993799080342285,0.09836801475740001,-0.0396900542644988,0.6252095344020492,0.82280837490664,-0.664899588666548,16.400000000000002,0.8361638361638362,51.453855878634634,-0.010139380516694385,-0.2344035291878893,0.13305736250739209,14.902424600827912,1.0156019705518358,FAIL,FAIL,NO EVIDENCE OF EDGE
DIVISLAB.NS,Healthcare,Large Cap,2468,FAIL,PASS,0.2197309417040359,0.18218954248366012,0.5061274509803921,0.3116830065359477,9,0.8406321758613494,0.3109161781265562,0.5067720090293454,1.0168873852937683,1.0151050571814384,-0.0017823281123299228,0.6140883821851113,0.6114336773333994,-0.002654704851711931,0.5057080712289141,0.38176027014139474,0.7103923074903831,1.012771960988617,-0.3286320373489883,17.599999999999998,0.8241758241758241,9.3,0.06004392735522157,-0.510045649131459,0.5239503252513306,26.079243051448845,1.1152834466253885,FAIL,FAIL,NO EVIDENCE OF EDGE
